"Generation", "Position", "Fitness"
52, 4, 16.294526244416016
53, 0, 17.496856622503998
53, 1, 17.490721991874707
53, 2, 17.490721991874707
53, 3, 16.30777904775355
53, 4, 16.298989297077974
54, 0, 18.277789988078226
54, 1, 17.491464676439495
54, 2, 17.490721991874707
54, 3, 17.48950360003115
54, 4, 16.298989297077974
55, 0, 18.27858142315861
55, 1, 18.249890718717655
55, 2, 16.294526244416016
55, 3, 16.294526244416016
55, 4, 15.765266739779328
56, 0, 18.27858142315861
56, 1, 15.638883397429751
56, 2, 15.638129155446395
56, 3, 15.634854136407952
56, 4, 15.634854136407952
57, 0, 16.303297616336828
57, 1, 15.641473080496974
57, 2, 15.634854136407952
57, 3, 15.634854136407952
57, 4, 15.634854136407952
58, 0, 19.15970006032688
58, 1, 17.91921473217352
58, 2, 16.30605299695427
58, 3, 16.303297616336828
58, 4, 16.299634585894406
59, 0, 20.212965559161653
59, 1, 17.925406863402493
59, 2, 16.29897771574643
59, 3, 16.275501535385082
59, 4, 15.953433793040404
60, 0, 20.212965559161653
60, 1, 16.30305080630187
60, 2, 16.298999654652828
60, 3, 16.209921403894217
60, 4, 16.208511547981477
61, 0, 16.31543063033791
61, 1, 16.298999654652828
61, 2, 16.298999654652828
61, 3, 16.298989297077974
61, 4, 16.29897771574643
62, 0, 16.315417849507494
62, 1, 16.298999654652828
62, 2, 16.298989297077974
62, 3, 16.29896495437153
62, 4, 16.287161987909045
63, 0, 16.31545260269158
63, 1, 16.315417849507494
63, 2, 16.315417849507494
63, 3, 16.29901166332545
63, 4, 16.299010641193536
64, 0, 16.315417849507494
64, 1, 16.29901166332545
64, 2, 16.29901166332545
64, 3, 16.299010641193536
64, 4, 16.298999654652828
65, 0, 16.299010641193536
65, 1, 16.29897771574643
65, 2, 16.29896495437153
65, 3, 16.29896495437153
65, 4, 16.29896495437153
66, 0, 16.299010641193536
66, 1, 16.29897771574643
66, 2, 16.29897771574643
66, 3, 16.29896495437153
66, 4, 16.29896495437153
67, 0, 16.299907547491994
67, 1, 16.298989297077974
67, 2, 16.29897771574643
67, 3, 16.29897771574643
67, 4, 16.29896495437153
68, 0, 16.299907547491994
68, 1, 16.299091053248212
68, 2, 16.298999671055547
68, 3, 16.298989297077974
68, 4, 16.298989297077974
69, 0, 16.299091053248212
69, 1, 16.298999671055547
69, 2, 16.29896495437153
69, 3, 16.29896495437153
69, 4, 16.29896495437153
70, 0, 16.311208317209953
70, 1, 16.299091053248212
70, 2, 16.298999671055547
70, 3, 16.29896495437153
70, 4, 16.29896495437153
71, 0, 16.311336392050627
71, 1, 16.29896495437153
71, 2, 16.262040549267674
71, 3, 16.03036957607529
71, 4, 16.029509879215677
72, 0, 16.311208317209953
72, 1, 16.299664158940796
72, 2, 16.29897771574643
72, 3, 16.244004148521253
72, 4, 16.029466900392304
73, 0, 16.292176505557812
73, 1, 16.03267704461126
73, 2, 16.029479344542686
73, 3, 15.770158097098687
73, 4, 14.667574645796256
74, 0, 16.291484567892784
74, 1, 16.134358401165215
74, 2, 16.029924509749527
74, 3, 16.029479344542686
74, 4, 14.914030282072781
75, 0, 16.309083096772863
75, 1, 16.299023419602705
75, 2, 16.292176505557812
75, 3, 16.291484567892784
75, 4, 16.029924509749527
76, 0, 16.302262094688107
76, 1, 16.299023419602705
76, 2, 16.291517772952798
76, 3, 16.282521573722722
76, 4, 16.02952321555117
77, 0, 16.565668008779124
77, 1, 16.18779326531343
77, 2, 16.078414292452166
77, 3, 16.02952321555117
77, 4, 16.02952321555117
78, 0, 16.02952321555117
78, 1, 16.02952321555117
78, 2, 15.18855322903558
78, 3, 15.18855322903558
78, 4, 15.18855322903558
79, 0, 16.302498967249033
79, 1, 16.1878049024173
79, 2, 16.14953510798106
79, 3, 15.966892653342967
79, 4, 15.61711881688554
80, 0, 16.302498967249033
80, 1, 16.302498967249033
80, 2, 16.302464673964465
80, 3, 16.291517772952798
80, 4, 16.1878049024173
81, 0, 16.56923657770955
81, 1, 16.462922336602634
81, 2, 16.302464673964465
81, 3, 16.291517772952798
81, 4, 16.187760378652957
82, 0, 17.425260245457864
82, 1, 16.302498967249033
82, 2, 16.302498967249033
82, 3, 16.302464673964465
82, 4, 16.302464673964465
83, 0, 16.302510727269425
83, 1, 16.30250445783086
83, 2, 16.302486619851756
83, 3, 16.302464673964465
83, 4, 16.302464673964465
84, 0, 16.302464673964465
84, 1, 16.24204689503706
84, 2, 16.198620418356033
84, 3, 16.176055916889432
84, 4, 15.679744194386384
85, 0, 16.30250445783086
85, 1, 16.199028032945368
85, 2, 16.198620418356033
85, 3, 16.198587323655506
85, 4, 16.198587323655232
86, 0, 16.199028032945368
86, 1, 16.198587323655232
86, 2, 15.67977553688795
86, 3, 15.679744194386384
86, 4, 14.400646679164582
87, 0, 16.302925068563205
87, 1, 16.302498967249033
87, 2, 16.21133362768508
87, 3, 15.76950945962704
87, 4, 15.760247499086843
88, 0, 16.30314855891132
88, 1, 16.30249699720372
88, 2, 16.302486622335408
88, 3, 16.21133362768508
88, 4, 16.19860876968046
89, 0, 16.32008262243707
89, 1, 16.315350146544954
89, 2, 16.302464673964465
89, 3, 16.235160012618653
89, 4, 16.198575849869215
90, 0, 16.32008262243707
90, 1, 16.315350146544954
90, 2, 16.30314855891132
90, 3, 16.29273508768267
90, 4, 16.198575849869215
91, 0, 16.315350146544954
91, 1, 16.29273508768267
91, 2, 16.199338288881204
91, 3, 16.19860876968046
91, 4, 16.198597585843686
92, 0, 16.29273508768267
92, 1, 16.199028032945368
92, 2, 16.198587323655232
92, 3, 14.742786585841671
92, 4, 14.651286444774678
93, 0, 16.317465650109323
93, 1, 16.29273508768267
93, 2, 16.124915440400503
93, 3, 15.058565384654669
93, 4, 14.623336825591396
94, 0, 16.317465650109323
94, 1, 15.769111868616811
94, 2, 15.28532488284598
94, 3, 14.818038405847407
94, 4, 14.27256150869074
95, 0, 15.769075031030242
95, 1, 14.62130863710796
95, 2, 14.227773118325004
95, 3, 13.99156190794254
95, 4, 13.98505054295834
96, 0, 15.769075031030242
96, 1, 14.624612754153778
96, 2, 14.232081033276584
96, 3, 13.989059984581115
96, 4, 13.988682830998151
97, 0, 15.953335244391901
97, 1, 15.769095902027868
97, 2, 15.769075031030242
97, 3, 15.428113404280172
97, 4, 14.232081033276584
98, 0, 16.219072188708097
98, 1, 15.77580426286001
98, 2, 15.769075031030242
98, 3, 14.783893885020133
98, 4, 13.988682830998151
99, 0, 15.973748099721066
99, 1, 15.952910237548032
99, 2, 14.216723529025815
99, 3, 13.994258475552673
99, 4, 13.593564429717377
100, 0, 15.975421983872188
100, 1, 15.973748099721066
100, 2, 15.969235323110004
100, 3, 15.952910237548032
100, 4, 14.83233429860531
