Generation,Diversity,Evenness,PopulationSize
0, 1.6094379124341005, 1.0000000000000002,5
1, 1.6094379124341005, 1.0000000000000002,5
2, 1.6094379124341005, 1.0000000000000002,5
3, 1.6094379124341005, 1.0000000000000002,5
4, 1.6094379124341005, 1.0000000000000002,5
5, 1.6094379124341005, 1.0000000000000002,5
6, 1.6094379124341005, 1.0000000000000002,5
7, 1.6094379124341005, 1.0000000000000002,5
8, 1.6094379124341005, 1.0000000000000002,5
9, 1.6094379124341005, 1.0000000000000002,5
10, 0.9502705392332347, 0.5904362833084089,5
11, 1.6094379124341005, 1.0000000000000002,5
12, 1.6094379124341005, 1.0000000000000002,5
13, 1.6094379124341005, 1.0000000000000002,5
14, 1.6094379124341005, 1.0000000000000002,5
15, 1.3321790402101223, 0.8277293767706428,5
16, 1.6094379124341005, 1.0000000000000002,5
17, 1.6094379124341005, 1.0000000000000002,5
18, 1.6094379124341005, 1.0000000000000002,5
19, 1.3321790402101223, 0.8277293767706428,5
20, 1.6094379124341005, 1.0000000000000002,5
21, 1.3321790402101223, 0.8277293767706428,5
22, 1.3321790402101223, 0.8277293767706428,5
23, 1.3321790402101223, 0.8277293767706428,5
24, 1.6094379124341005, 1.0000000000000002,5
25, 1.0549201679861442, 0.6554587535412857,5
26, 1.6094379124341005, 1.0000000000000002,5
27, 1.3321790402101223, 0.8277293767706428,5
28, 1.6094379124341005, 1.0000000000000002,5
29, 0.9502705392332347, 0.5904362833084089,5
30, 1.6094379124341005, 1.0000000000000002,5
31, 1.3321790402101223, 0.8277293767706428,5
32, 1.6094379124341005, 1.0000000000000002,5
33, 1.6094379124341005, 1.0000000000000002,5
34, 1.6094379124341005, 1.0000000000000002,5
35, 1.6094379124341005, 1.0000000000000002,5
36, 1.6094379124341005, 1.0000000000000002,5
37, 1.3321790402101223, 0.8277293767706428,5
38, 1.6094379124341005, 1.0000000000000002,5
39, 1.6094379124341005, 1.0000000000000002,5
40, 1.6094379124341005, 1.0000000000000002,5
41, 1.6094379124341005, 1.0000000000000002,5
42, 1.3321790402101223, 0.8277293767706428,5
43, 0.9502705392332347, 0.5904362833084089,5
44, 0.5004024235381879, 0.31091750708257115,5
45, 1.6094379124341005, 1.0000000000000002,5
46, 1.6094379124341005, 1.0000000000000002,5
47, 1.6094379124341005, 1.0000000000000002,5
48, 1.6094379124341005, 1.0000000000000002,5
49, 1.6094379124341005, 1.0000000000000002,5
50, 1.3321790402101223, 0.8277293767706428,5
51, 1.3321790402101223, 0.8277293767706428,5
52, 1.6094379124341005, 1.0000000000000002,5
53, 1.6094379124341005, 1.0000000000000002,5
54, 1.3321790402101223, 0.8277293767706428,5
55, 0.9502705392332347, 0.5904362833084089,5
56, 0.9502705392332347, 0.5904362833084089,5
57, 0.9502705392332347, 0.5904362833084089,5
58, 0.9502705392332347, 0.5904362833084089,5
59, 1.6094379124341005, 1.0000000000000002,5
60, 1.6094379124341005, 1.0000000000000002,5
61, 1.6094379124341005, 1.0000000000000002,5
62, 1.6094379124341005, 1.0000000000000002,5
63, 1.6094379124341005, 1.0000000000000002,5
64, 1.6094379124341005, 1.0000000000000002,5
65, 1.3321790402101223, 0.8277293767706428,5
66, 1.6094379124341005, 1.0000000000000002,5
67, 1.6094379124341005, 1.0000000000000002,5
68, 0.9502705392332347, 0.5904362833084089,5
69, 1.3321790402101223, 0.8277293767706428,5
70, 1.6094379124341005, 1.0000000000000002,5
71, 1.6094379124341005, 1.0000000000000002,5
72, 0.9502705392332347, 0.5904362833084089,5
73, 1.6094379124341005, 1.0000000000000002,5
74, 1.6094379124341005, 1.0000000000000002,5
75, 1.3321790402101223, 0.8277293767706428,5
76, 1.6094379124341005, 1.0000000000000002,5
77, 1.3321790402101223, 0.8277293767706428,5
78, 1.6094379124341005, 1.0000000000000002,5
79, 1.3321790402101223, 0.8277293767706428,5
80, 1.6094379124341005, 1.0000000000000002,5
81, 1.3321790402101223, 0.8277293767706428,5
82, 1.3321790402101223, 0.8277293767706428,5
83, 0.9502705392332347, 0.5904362833084089,5
84, 1.3321790402101223, 0.8277293767706428,5
85, 0.9502705392332347, 0.5904362833084089,5
86, 1.6094379124341005, 1.0000000000000002,5
87, 1.6094379124341005, 1.0000000000000002,5
88, 1.3321790402101223, 0.8277293767706428,5
89, 0.9502705392332347, 0.5904362833084089,5
90, 1.6094379124341005, 1.0000000000000002,5
91, 1.3321790402101223, 0.8277293767706428,5
