"Fitness", "Generation", "Variable", "Value"
4.781127943813486, 33, Energy Intensity, 2034
4.781127943813486, 33, Typesplit and Splitshare, 2091
4.781127943813486, 33, Dwelling, 2099
4.537911103409861, 45, Population, 2039
4.537911103409861, 45, Renovation Cycle, 2093
4.537911103409861, 45, Energy Intensity, 2037
4.537911103409861, 45, Typesplit and Splitshare, 2092
4.537911103409861, 45, Dwelling, 2092
4.686988174339565, 26, Population, 2029
4.686988174339565, 26, Renovation Cycle, 2043
4.686988174339565, 26, Energy Intensity, 2040
4.686988174339565, 26, Typesplit and Splitshare, 2098
4.686988174339565, 26, Dwelling, 2045
4.5590758980828, 48, Population, 2029
4.5590758980828, 48, Renovation Cycle, 2053
4.5590758980828, 48, Energy Intensity, 2043
4.5590758980828, 48, Typesplit and Splitshare, 2099
4.5590758980828, 48, Dwelling, 2052
4.202746479506038, 17, Population, 2039
4.202746479506038, 17, Renovation Cycle, 2052
4.202746479506038, 17, Energy Intensity, 2031
4.202746479506038, 17, Typesplit and Splitshare, 2097
4.202746479506038, 17, Dwelling, 2028
5.266904274617379, 34, Population, 2029
5.266904274617379, 34, Renovation Cycle, 2067
5.266904274617379, 34, Energy Intensity, 2028
5.266904274617379, 34, Typesplit and Splitshare, 2097
5.266904274617379, 34, Dwelling, 2050
